0	3.2189	3.2189	3.2189	1.55345	1.8445	0
5	3.2189	3.2189	3.2189	1.55345	1.8445	0
10	3.2189	3.2189	3.2189	1.55345	1.8445	0
15	3.2189	3.2189	3.2189	1.55345	1.8445	0
20	3.2189	3.2189	3.2189	1.55345	1.8445	0
25	3.2189	3.2189	3.2189	1.55345	1.8445	0
30	3.2189	3.2189	3.2189	1.55345	1.8445	0
35	3.2189	3.2189	3.2189	1.55345	1.8445	0
40	3.2189	3.2189	3.2189	1.55345	1.8445	0
45	3.2189	3.2189	3.2189	1.55345	1.8445	0
50	3.2189	3.2189	3.2189	1.55345	1.8445	0
55	3.2189	3.2189	3.2189	1.55345	1.8445	0
60	3.2189	3.2189	3.2189	1.55345	1.8445	10
65	4.270181792	4.251816392	4.23872324	3.494792197	1.8445	10
70	5.05968876	5.033913166	5.022619664	5.653473875	1.8445	10
75	5.66700916	5.641944084	5.63562644	6.22848488	1.8445	10
80	6.126235839	6.105221288	6.103657044	7.21041632	1.8445	10
85	6.467809098	6.451604136	6.453642192	7.515435969	1.8445	10
90	6.718320996	6.706546362	6.710793294	8.061752	1.8445	10
95	6.899582062	6.891603015	6.89708275	8.237253189	1.8445	10
100	7.029072438	7.023991842	7.030030978	8.55781702	1.8445	10
105	7.120427096	7.11746141	7.123679563	8.662777355	1.8445	10
110	7.183712972	7.182279972	7.188489312	8.856554875	1.8445	10
115	7.226682032	7.226395706	7.23250361	8.920812219	1.8444412	0
120	7.254924043	7.255496335	7.261409598	9.04069088	1.8444412	0
125	6.271325254	6.313880096	6.334899963	7.164014155	1.8444412	0
130	5.513159343	5.556685639	5.568648582	6.00158312	1.8444412	0
135	4.893312428	4.929976698	4.935283784	5.124184719	1.8444412	0
140	4.397240583	4.42637714	4.42769194	4.418091462	1.8444412	0
145	4.009003352	4.03132819	4.03041092	3.857387312	1.8444412	0
150	3.709601883	3.726314452	3.724264116	3.40317205	1.8444412	0
155	3.480835863	3.493193535	3.490722231	3.043433987	1.8443824	0
160	3.30690608	3.315895016	3.313312143	2.753771875	1.8443824	0
165	3.174687267	3.18121275	3.178830523	2.525636814	1.8443824	0
170	3.074115339	3.07878521	3.076709762	2.342868494	1.8443824	0
175	2.99736775	3.000589398	2.998822712	2.199578469	1.8443824	0
180	2.938304838	2.940697724	2.939241198	2.08515398	1.8443824	0
