0	3.2189	3.2189	3.2189	1.5574	1.8469	0
5	3.2189	3.2189	3.2189	1.5574	1.8469	0
10	3.2189	3.2189	3.2189	1.5574	1.8469	0
15	3.2189	3.2189	3.2189	1.5574	1.8469	0
20	3.2189	3.2189	3.2189	1.5574	1.8469	0
25	3.2189	3.2189	3.2189	1.5574	1.8469	0
30	3.2189	3.2189	3.2189	1.5574	1.8469	0
35	3.2189	3.2189	3.2189	1.5574	1.8469	0
40	3.2189	3.2189	3.2189	1.5574	1.8469	0
45	3.2189	3.2189	3.2189	1.5574	1.8469	0
50	3.2189	3.2189	3.2189	1.5574	1.8469	0
55	3.2189	3.2189	3.2189	1.5574	1.8469	0
60	3.2103	3.2103	3.2103	1.5574	1.8469	10
65	5.0098	3.6981	4.1356	2.172297632	3.823894375	10
70	6.3744	4.0837	4.8586	2.475118736	4.806671648	10
75	7.3828	4.3939	5.4255	2.681577272	5.494979877	10
80	8.1081	4.639	5.8597	2.838379864	6.02874625	10
85	8.6226	4.8292	6.1856	2.957972207	6.448811656	10
90	8.9848	4.9736	6.4255	3.052081872	6.79157785	10
95	9.2386	5.081	6.5999	3.125114281	7.068957747	10
100	9.4155	5.1594	6.7248	3.183114794	7.299619744	10
105	9.5379	5.2152	6.813	3.228425112	7.488870507	10
110	9.622	5.2537	6.8741	3.264605811	7.647041866	10
115	9.6792	5.2797	6.9156	3.293012707	7.778088963	10
120	9.717	5.2959	6.9429	3.31584032	7.888430656	10
125	8.159	4.8655	6.13	2.747315539	6.351812163	0
130	6.8584	4.4748	5.4197	2.46353798	5.525416954	0
135	5.821	4.1369	4.8262	2.267340449	4.915001859	0
140	5.0283	3.8544	4.3488	2.11661288	4.420421842	0
145	4.4359	3.6229	3.9737	2.000691562	4.017008056	0
150	3.9977	3.4364	3.6837	1.908900154	3.67845118	0
155	3.6753	3.2877	3.4612	1.83753227	3.397220294	0
160	3.4377	3.1701	3.2917	1.780835544	3.159499348	0
165	3.2629	3.0773	3.1624	1.736715355	2.961452462	0
170	3.133	3.0043	3.0641	1.701630894	2.794046333	0
175	3.0365	2.9467	2.9887	1.674360687	2.654569085	0
180	2.9637	2.9012	2.9307	1.652696728	2.536756077	0
